uid,contractUid,number,dateSigned,type,title,amountValue,description,url
2003-049-13/і/1,049-13/і/1,null,2003-07-24,Зміни,Зміни до Інвестиційного договору № 049-13/і/1,null,Внесено зміни до преамбули та реквізитів інвестиційного договору та викладено їх у новій редакції,null
2003-049-13/і/1,049-13/і/1,1,2003-03-18,Угода,Угода № 1 (Додаток № 2 до Інвестиційного договору № 049-13/і/1),null,Внесено зміни до реквізитів та сплати Інвестором коштів згідно з умовами Інвестиційного договору,null
2003-049-13/і/1,049-13/і/1,null,2003-07-24,Зміни,Зміни до Угоди № 1 (Додатку № 2 до Інвестиційного договору № 049-13/і/1),null,Внесено зміни до реквізитів та сплати Інвестором коштів згідно з умовами Інвестиційного договору,null
2003-049-13/і/1,049-13/і/1,null,2006-10-09,Договір,Договір про заміну інвестора в Інвестиційному договорі № 049-13/і/1,null,Договором замінено Інвестора в інвестиційному договорі та визначено механізм компенсації сплачених коштів попереднім інвестором,null
2003-049-13/і/1,049-13/і/1,2,2006-10-09,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 049-13/і/1,null,Додатковою угодою викладено інвестиційний договір в новій редакції,null
2003-049-13/і/1,049-13/і/1,1,2009-06-17,Договір,Договір № 1 про заміну сторони в Інвестиційному договорі № 049-13/і/1,null,Договором замінено Замовника в інвестиційному договорі,null
2003-049-13/і/1,049-13/і/1,3,2009-06-17,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 049-13/і/1,null,Додатковою угодою викладено інвестиційний договір в новій редакції,null
2003-049-13/і/1,049-13/і/1,2,2014-12-16,Договір,Договір № 2 про заміну сторони в Інвестиційному договорі № 049-13/і/1,null,Договором замінено Замовника/Інвестора в інвестиційному договорі,null
2003-049-13/і/1,049-13/і/1,4,2014-12-16,Додаткова угода,Додаткова угода № 4 до Інвестиційного договору № 049-13/і/1,null,Додатковою угодою викладено інвестиційний договір в новій редакції,null
2003-049-13/і/3,049-13/і/3,null,2003-07-03,Зміни,Зміни до Інвестиційного договору № 049-13/і/3,null,Внесено зміни до реквізитів інвестиційного договору та викладено їх у новій редакції,null
2003-049-13/і/3,049-13/і/3,1,2003-08-29,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 049-13/і/3,null,Додатковою угодою пункти в інвестиційному договорі викладено в новій редакції,null
2003-049-13/і/3,049-13/і/3,2,2004-09-20,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 049-13/і/3,null,Додатковою угодою пункт в інвестиційному договорі викладено в новій редакції,null
2003-049-13/і/3,049-13/і/3,3,2006-04-14,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 049-13/і/3,null,Додатковою угодою пункт в інвестиційному договорі викладено в новій редакції,null
2003-049-13/і/3,049-13/і/3,null,2020-07-27,Договір,Договір про заміну сторони в Інвестиційному договорі № 049-13/і/3,null,Договором замінено Замовника в інвестиційному договорі,null
2003-049-13/і/3,049-13/і/3,4,2020-10-27,Додаткова угода,Додаткова угода № 4 до Інвестиційного договору № 049-13/і/3,null,Додатковою угодою викладено інвестиційний договір в новій редакції,null
2003-049-13/і/8,049-13/і/8,null,2008-07-14,Договір,Договір про заміну замовника в Інвестиційному договорі № 049-13/і/8,null,Договором замінено Замовника в інвестиційному договорі,null
2003-049-13/і/8,049-13/і/8,1,2008-07-14,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 049-13/і/8,null,Додатковою угодою викладено інвестиційний договір в новій редакції,null
2003-049-13/і/11,049-13/і/11,null,2004-10-28,Зміни,Зміни до Інвестиційного договору № 049-13/і/11,null,Внесено зміни до строків виконання Інвестором зобов'язань,null
2003-049-13/і/11,049-13/і/11,null,2005-02-25,Зміни,Зміни до Інвестиційного договору № 049-13/і/11,null,Внесено зміни до строків виконання Інвестором зобов'язань,null
2003-049-13/і/11,049-13/і/11,null,2005-07-15,Зміни,Зміни до Інвестиційного договору № 049-13/і/11,null,Внесено зміни до строків виконання Інвестором зобов'язань,null
2003-049-13/і/11,049-13/і/11,null,2006-02-21,Зміни,Зміни до Інвестиційного договору № 049-13/і/11,null,Внесено зміни до строків виконання Інвестором зобов'язань,null
2003-049-13/і/11,049-13/і/11,1,2013-03-18,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 049-13/і/11,null,Додатковою угодою внесено зміни до пунктів інвестиційного договору та строків виконання Інвестором зобов'язань,null
2003-049-13/і/11,049-13/і/11,2,2016-06-15,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 049-13/і/11,null,Додатковою угодою внесено зміни до строків виконання Інвестором зобов'язань,null
2004-049-13/і/12,049-13/і/12,null,2006-11-15,Зміни,Зміни до Інвестиційного договору № 049-13/і/12,null,Змінено підписанта та строки виконання Інвестором зобов'язань за інвестиційним договором,null
2004-049-13/і/13,049-13/і/13,null,2005-07-14,Зміни,Зміни до Інвестиційного договору № 049-13/і/13,null,Змінено строки виконання Інвестором зобов'язань,null
2004-049-13/і/13,049-13/і/13,null,2007-12-25,Зміни,Зміни до Інвестиційного договору № 049-13/і/13,null,Змінено реквізити для сплати інвестором компенсації територіальній громаді вартості майна та строків виконання Інвестором зобов'язань,null
2004-049-13/і/13,049-13/і/13,1,2008-08-29,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 049-13/і/13,null,"Додатковою угодою внесено зміни до деяких пунктів інвестиційного договору, строків виконання Інвестором зобов'язань",null
2004-049-13/і/14,049-13/і/14,null,2006-02-07,Зміни,Зміни до Інвестиційного договору № 049-13/і/14,null,Внесено зміни до строків виконання Інвестором зобов'язань,null
2004-049-13/і/14,049-13/і/14,1,2006-09-18,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 049-13/і/14,null,Додатковою угодою викладено інвестиційний договір в новій редакції,null
2004-049-13/і/14,049-13/і/14,null,2006-09-18,Договір,Договір про заміну інвестора в Інвестиційному договорі № 049-13/і/14,null,Договором замінено Інвестора в інвестиційному договорі,null
2004-049-13/і/14,049-13/і/14,2,2008-07-09,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 049-13/і/14,null,"Додатковою угодою внесено зміни до назви об'єкта інвестування, деяких пунктів інвестиційного договору, строків виконання Інвестором зобов'язань",null
2004-049-13/і/14,049-13/і/14,3,2011-08-05,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 049-13/і/14,null,Додатковою угодою внесено зміни до строків виконання Інвестором зобов'язань,null
2005-049-13/і/16,049-13/і/16,null,2005-03-22,Зміни,Зміни до Інвестиційного договору № 049-13/і/16,null,Внесено зміни до реквізитів інвестиційного договору та викладено їх у новій редакції,null
2005-049-13/і/16,049-13/і/16,1,2013-03-06,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 049-13/і/16,null,Додатковою угодою внесено зміни до строків виконання Інвестором зобов'язань,null
2005-049-13/і/16,049-13/і/16,2,2017-03-10,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 049-13/і/16,null,Додатковою угодою внесено зміни до строків виконання Інвестором зобов'язань,null
2005-049-13/і/17,049-13/і/17,1,2008-09-10,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 049-13/і/17,null,Додатковою угодою внесено зміни щодо фінансування Інвестором проєкту та строків виконання Інвестором зобов'язань,null
2006-049-13/і/19,049-13/і/19,1,2007-09-13,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 049-13/і/19,null,Додатковою угодою внесено зміни до пунктів інвестиційного договору,null
2007-049-13/і/20,049-13/і/20,null,2013-12-19,Додаткова угода,Додаткова угода про розірвання Інвестиційного договору № 049-13/і/20,null,"Додатковою угодою розірвано Інвестиційний договір та передбачено відшкодування Інвестору збитків, у зв'язку з розірванням Інвестиційного договору",null
2007-049-13/і/24,049-13/і/24,1,2007-06-15,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 049-13/і/24,null,Додатковою угодою виключено пункти у інвестиційному договорі,null
2007-049-13/і/24,049-13/і/24,null,2008-04-23,Договір,Договір про заміну інвестора в Інвестиційному договорі № 049-13/і/24,null,Договором замінено Інвестора в інвестиційному договорі,null
2007-049-13/і/24,049-13/і/24,2,2008-04-23,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 049-13/і/24,null,Додатковою угодою викладено інвестиційний договір в новій редакції,null
2007-049-13/і/26,049-13/і/26,1,2008-10-23,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 049-13/і/26,null,Додатковою угодою внесено зміни до строків виконання Інвестором зобов'язань,null
2007-049-13/і/26,049-13/і/26,2,2013-03-06,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 049-13/і/26,null,Додатковою угодою внесено зміни до строків виконання Інвестором зобов'язань,null
2007-049-13/і/26,049-13/і/26,3,2016-11-23,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 049-13/і/26,null,Додатковою угодою внесено зміни до строків виконання Інвестором зобов'язань,null
2007-049-13/і/26,049-13/і/26,4,2019-07-09,Додаткова угода,Додаткова угода № 4 до Інвестиційного договору № 049-13/і/26,null,Додатковою угодою внесено зміни до строків виконання Інвестором зобов'язань,null
2007-049-13/і/26,049-13/і/26,5,2023-07-14,Додаткова угода,Додаткова угода № 5 до Інвестиційного договору № 049-13/і/26,null,Додатковою угодою внесено зміни до строків виконання Інвестором зобов'язань,null
2007-049-13/і/27,049-13/і/27,1,2009-06-17,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 049-13/і/27,null,Додатковою угодою внесено зміни до пунктів інвестиційного договору,null
2008-049-13/і/67,049-13/і/67,1,2009-02-12,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 049-13/і/67,null,Додатковою угодою внесено зміни щодо фінансування Інвестором проєкту,null
2008-049-13/і/67,049-13/і/67,null,2024-04-26,Договір,Договір про заміну сторони в Інвестиційному договорі № 049-13/і/67,null,Договором замінено Замовника в інвестиційному договорі,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_kviten_2024_1004328/dogovir_vid_26042024_pro_zaminu_storoni_v_investitsiynomu_dogovori_vid_23052008__049-13_i_67/
2008-049-13/і/67,049-13/і/67,2,2024-12-16,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 049-13/і/67,null,Додатковою угодою передбачено виконання Інвестором функцій Замовника в інвестиційному договорі,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_gruden_2024/dodatkova_ugoda_vid_16122024__2_do_investitsiynogo_dogovoru_vid_23052008__049-13_i_67/
2012-049-13/і/118,049-13/і/118,1,2013-04-10,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 049-13/і/118,null,Додатковою угодою внесено зміни до строків виконання Інвестором зобов'язань,null
2012-049-13/і/118,049-13/і/118,null,2013-12-18,Договір,Договір про заміну сторони в Інвестиційному договорі № 049-13/і/118,null,Договором замінено Інвестора в інвестиційному договорі,null
2012-049-13/і/118,049-13/і/118,2,2013-08-14,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 049-13/і/118,null,Додатковою угодою внесено зміни до Додатку 4 інвестиційного договору,null
2012-049-13/і/118,049-13/і/118,3,2013-12-18,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 049-13/і/118,null,Додатковою угодою змінено назву Інвестора в інвестиційному договорі,null
2012-049-13/і/118,049-13/і/118,4,2019-09-06,Додаткова угода,Додаткова угода № 4 до Інвестиційного договору № 049-13/і/118,null,"Додатковою угодою змінено назву Інвестора, внесено зміни до строків виконання Інвестором зобов'язань та адрес розміщення ТІЦ",null
2012-049-13/і/118,049-13/і/118,5,2020-05-23,Додаткова угода,Додаткова угода № 5 до Інвестиційного договору № 049-13/і/118,null,Додаткову угоду укладено на виконання рішення суду,null
2012-049-13/і/118,049-13/і/118,6,2020-11-26,Додаткова угода,Додаткова угода № 6 до Інвестиційного договору № 049-13/і/118,null,Додатковою угодою виключено пункти у інвестиційному договорі,null
2012-050-13/і/118,050-13/і/118,7,2023-06-12,Додаткова угода,Додаткова угода № 7 до Інвестиційного договору № 050-13/і/118,null,Додаткова угода щодо заміни замовника та подовження строку реалізації проєкту,null
2012-050-13/і/118,050-13/і/118,8,2024-01-17,Додаткова угода,Додаткова угода № 8 до Інвестиційного договору № 050-13/і/118,null,Додаткова угода щодо подовження строку реалізації проєкту,null
2012-050-13/і/118,050-13/і/118,9,2025-02-14,Додаткова угода,Додаткова угода № 9 до Інвестиційного договору № 050-13/і/118,null,Додаткова угода щодо подовження строку реалізації проєкту,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_lyutiy_2025/dodatkova_ugoda_vid_14022025__9_do_investitsiynogo_dogovoru_vid_07072012__049-13_i_118/
2012-050-13/і/118,050-13/і/118,10,2026-02-03,Додаткова угода,Додаткова угода № 10 до Інвестиційного договору № 050-13/і/118,null,Додаткова угода щодо подовження строку реалізації проєкту,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_lyutiy_2026/dodatkova_ugoda_vid_03022026__10_do_investitsiynogo_dogovoru_vid_07072012__049-13_i_118_1040254/
2013-050-13/і/124,049-13/і/124,1,2014-09-19,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 049-13/і/124,null,Додатковою угодою внесено зміни до пунктів інвестиційного договору,null
2013-050-13/і/124,049-13/і/124,2,2014-11-24,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 049-13/і/124,null,Додатковою угодою внесено зміни до пунктів інвестиційного договору та затверджено графік фінансування і реалізації інвестиційного проекту,null
2013-050-13/і/124,049-13/і/124,3,2015-01-22,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 049-13/і/124,null,Додатковою угодою внесено зміни щодо фінансування Інвестором проєкту та зміни до графіку фінансування і реалізації інвестиційного проєкту,null
2013-050-13/і/124,049-13/і/124,4,2015-09-04,Додаткова угода,Додаткова угода № 4 до Інвестиційного договору № 049-13/і/124,null,Додатковою угодою внесено зміни до техніко-економічних показників об'єкта інвестування за інвестиційним договором,null
2013-050-13/і/124,049-13/і/124,5,2016-01-22,Додаткова угода,Додаткова угода № 5 до Інвестиційного договору № 049-13/і/124,null,Додатковою угодою внесено зміни щодо фінансування Інвестором проєкту та зміни до графіку фінансування і реалізації інвестиційного проєкту,null
2013-050-13/і/124,049-13/і/124,6,2019-01-30,Додаткова угода,Додаткова угода № 6 до Інвестиційного договору № 049-13/і/124,null,Додатковою угодою внесено зміни щодо розробки та погодження Інвестором проєктної документації,null
2013-050-13/і/129,050-13/і/129,1,2015-09-25,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 049-13/і/129,null,Додатковою угодою затверджено графік фінансування і реалізації інвестиційного проекту,null
2013-050-13/і/132,050-13/і/132,1,2014-06-02,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 049-13/і/132,null,Додатковою угодою затверджено графік фінансування і реалізації інвестиційного проекту,null
2013-050-13/і/132,050-13/і/132,2,2020-12-08,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 049-13/і/132,null,Додатковою угодою виключено пункти у інвестиційному договорі,null
2014-050-12/і/136,050-13/і/136,1,2014-09-19,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 049-13/і/136,null,Додатковою угодою внесено зміни щодо фінансування Інвестором проєкту та зобов'язань Інвестора,null
2014-050-12/і/136,050-13/і/136,2,2015-04-03,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 049-13/і/136,null,Додатковою угодою внесено зміни до техніко-економічних показників об'єкта інвестування за інвестиційним договором,null
2014-050-12/і/136,050-13/і/136,3,2017-11-27,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 049-13/і/136,null,Додатковою угодою внесено зміни до техніко-економічних показників об'єкта інвестування за інвестиційним договором та фінансування Інвестором проєкту,null
2018-050-13/і/176,050-13/і/176,1,2019-12-12,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/176,null,Додатковою угодою затверджено графік фінансування та реалізації інвестиційного проекту,null
2018-050-13/і/176,050-13/і/176,2,2020-02-28,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/176,null,Додатковою угодою внесено зміни до переліку місць розташування зупинкових комплексів та внесено зміни до графіку фінансування та реалізації інвестиційного проекту,null
2018-050-13/і/176,050-13/і/176,3,2020-03-23,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 050-13/і/176,null,Додатковою угодою внесено зміни до пункту інвестиційного договору,null
2018-050-13/і/176,050-13/і/176,4,2020-07-06,Додаткова угода,Додаткова угода № 4 до Інвестиційного договору № 050-13/і/176,null,Внесено зміни до строків виконання Інвестором зобов'язань та внесено зміни до графіку фінансування та реалізації інвестиційного проекту,null
2018-050-13/і/176,050-13/і/176,5,2023-11-20,Додаткова угода,Додаткова угода № 5 до Інвестиційного договору № 050-13/і/176,null,Внесено зміни до строків виконання Інвестором зобов'язань та внесено зміни до графіку фінансування та реалізації інвестиційного проекту,null
2018-050-13/і/176,050-13/і/176,6,2024-03-18,Додаткова угода,Додаткова угода № 6 до Інвестиційного договору № 050-13/і/176,null,Внесено зміни до строків виконання Інвестором зобов'язань та внесено зміни до графіку фінансування та реалізації інвестиційного проекту,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_berezen_2024/dodatkova_ugoda_vid_18032024__6_do_investitsiynogo_dogovoru_vid_27072018__050-13_i_176/
2018-050-13/і/176,050-13/і/176,7,2024-04-15,Додаткова угода,Додаткова угода № 7 до Інвестиційного договору № 050-13/і/176,null,Додатковою угодою внесено зміни до деяких пунктів інвестиційного договору та Додаток 2 викладено у новій редакції,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_kviten_2024/dodatkova_ugoda_vid_15042024__7_do_investitsiynogo_dogovoru_vid_27072018__050-13_i_176/
2018-050-13/і/176,050-13/і/176,8,2024-11-13,Додаткова угода,Додаткова угода № 8 до Інвестиційного договору № 050-13/і/176,null,Внесено зміни до строків виконання Інвестором зобов'язань та внесено зміни до реквізитів інвестора,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_listopad_2024/dodatkova_ugoda_vid_13112024__8_do_investitsiynogo_dogovoru_vid_27072018__050-13_i_176/
2018-050-13/і/177,050-13/і/177,1,2019-12-12,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/177,null,Додатковою угодою затверджено графік фінансування та реалізації інвестиційного проекту,null
2018-050-13/і/177,050-13/і/177,2,2020-03-23,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/177,null,Додатковою угодою внесено зміни до пункту інвестиційного договору,null
2018-050-13/і/177,050-13/і/177,3,2020-07-06,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 050-13/і/177,null,Внесено зміни до строків виконання Інвестором зобов'язань та внесено зміни до графіку фінансування та реалізації інвестиційного проекту,null
2018-050-13/і/177,050-13/і/177,4,2023-11-20,Додаткова угода,Додаткова угода № 4 до Інвестиційного договору № 050-13/і/177,null,Внесено зміни до строків виконання Інвестором зобов'язань та внесено зміни до графіку фінансування та реалізації інвестиційного проекту,null
2018-050-13/і/177,050-13/і/177,5,2024-03-18,Додаткова угода,Додаткова угода № 5 до Інвестиційного договору № 050-13/і/177,null,Внесено зміни до строків виконання Інвестором зобов'язань та внесено зміни до графіку фінансування та реалізації інвестиційного проекту,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_berezen_2024/dodatkova_ugoda_vid_18032024__5_do_investitsiynogo_dogovoru_vid_27072018__050-13_i_177/
2018-050-13/і/177,050-13/і/177,6,2024-04-15,Додаткова угода,Додаткова угода № 6 до Інвестиційного договору № 050-13/і/177,null,Додатковою угодою внесено зміни до пункту інвестиційного договору та Додаток 2 викладено у новій редакції,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_kviten_2024/dodatkova_ugoda_vid_15042024__6_do_investitsiynogo_dogovoru_vid_27072018__050-13_i_177/
2018-050-13/і/177,050-13/і/177,7,2024-11-13,Додаткова угода,Додаткова угода № 7 до Інвестиційного договору № 050-13/і/177,null,Внесено зміни до строків виконання Інвестором зобов'язань та внесено зміни до реквізитів інвестора,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_listopad_2024/dodatkova_ugoda_vid_13112024__7_do_investitsiynogo_dogovoru_vid_27072018__050-13_i_177/
2018-050-13/і/180,050-13/і/180,1,2019-05-24,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/180,null,Додатковою угодою внесено зміни до переліку місць розташування зупинкових комплексів,null
2018-050-13/і/180,050-13/і/180,2,2020-04-30,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/180,null,Додатковою угодою внесено зміни до пункту інвестиційного договору,null
2018-050-13/і/180,050-13/і/180,3,2020-08-14,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 050-13/і/180,null,Внесено зміни до строків виконання Інвестором зобов'язань та затверджено графік реалізації інвестиційного проекту,null
2018-050-13/і/180,050-13/і/180,4,2021-03-05,Додаткова угода,Додаткова угода № 4 до Інвестиційного договору № 050-13/і/180,null,Додатковою угодою внесено зміни до пунктів інвестиційного договору,null
2018-050-13/і/180,050-13/і/180,5,2021-03-09,Додаткова угода,Додаткова угода № 5 до Інвестиційного договору № 050-13/і/180,null,Внесено зміни до строків виконання Інвестором зобов'язань та внесено зміни до графіку фінансування та реалізації інвестиційного проекту,null
2018-050-13/і/184,050-13/і/184,1,2019-08-16,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/184,null,Додатковою угодою затверджено графік фінансування та реалізації інвестиційного проекту,null
2018-050-13/і/184,050-13/і/184,2,2020-02-28,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/184,null,Додатковою угодою внесено зміни до переліку місць розташування зупинкових комплексів,null
2018-050-13/і/184,050-13/і/184,3,2020-03-19,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 050-13/і/184,null,Додатковою угодою внесено зміни до пункту інвестиційного договору,null
2018-050-13/і/184,050-13/і/184,4,2021-04-01,Додаткова угода,Додаткова угода № 4 до Інвестиційного договору № 050-13/і/184,null,Додатковою угодою внесено зміни до пунктів інвестиційного договору,null
2018-050-13/і/184,050-13/і/184,5,2021-04-01,Додаткова угода,Додаткова угода № 5 до Інвестиційного договору № 050-13/і/184,null,Внесено зміни до строків виконання Інвестором зобов'язань та внесено зміни до графіку фінансування та реалізації інвестиційного проєкту,null
2018-050-13/і/185,050-13/і/185,1,2019-08-16,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/185,null,Додатковою угодою затверджено графік фінансування та реалізації інвестиційного проекту,null
2018-050-13/і/185,050-13/і/185,2,2020-02-28,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/185,null,Додатковою угодою внесено зміни до переліку місць розташування зупинкових комплексів,null
2018-050-13/і/185,050-13/і/185,3,2020-03-19,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 050-13/і/185,null,Додатковою угодою внесено зміни до пункту інвестиційного договору,null
2018-050-13/і/185,050-13/і/185,4,2021-04-01,Додаткова угода,Додаткова угода № 4 до Інвестиційного договору № 050-13/і/185,null,Додатковою угодою внесено зміни до пунктів інвестиційного договору,null
2018-050-13/і/185,050-13/і/185,5,2021-04-01,Додаткова угода,Додаткова угода № 5 до Інвестиційного договору № 050-13/і/185,null,Внесено зміни до строків виконання Інвестором зобов'язань та внесено зміни до графіку фінансування та реалізації інвестиційного проєкту,null
2018-050-13/і/187,050-13/і/187,1,2019-08-07,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/187,null,Додатковою угодою внесено зміни до переліку місць розташування зупинкових комплексів,null
2018-050-13/і/187,050-13/і/187,2,2020-04-23,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/187,null,Внесено зміни до строків виконання Інвестором зобов'язань та затверджено графік фінансування та реалізації інвестиційного проєкту,null
2018-050-13/і/187,050-13/і/187,3,2021-07-07,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 050-13/і/187,null,Додатковою угодою внесено зміни до пунктів інвестиційного договору та зміни до переліку місць розташування зупинкових комплексів,null
2018-050-13/і/187,050-13/і/187,4,2023-12-20,Додаткова угода,Додаткова угода № 4 до Інвестиційного договору № 050-13/і/187,null,Внесено зміни до строків виконання Інвестором зобов'язань та внесено зміни до графіку фінансування та реалізації інвестиційного проєкту,null
2018-050-13/і/187,050-13/і/187,5,2024-11-13,Додаткова угода,Додаткова угода № 5 до Інвестиційного договору № 050-13/і/187,null,Внесено зміни до строків виконання Інвестором зобов'язань та замінено місця встановлення зупинкових комплексів,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_listopad_2024/dodatkova_ugoda_vid_13112024__5_do_investitsiynogo_dogovoru_vid_09112018__050-13_i_187/
2018-050-13/і/187,050-13/і/187,6,2026-03-24,Додаткова угода,Додаткова угода № 6 до Інвестиційного договору № 050-13/і/187,null,Додатковою угодою подовжено строк реалізації інвестиційного проєкту та графік реалізації інвестиційного проєкту викладено у новій редакції,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_berezen_2026/dodatkova_ugoda_vid_24032026__6_do_investitsiynogo_dogovoru_vid_09112018__050-13_i_187/
2018-050-13/і/189,050-13/і/189,1,2020-04-23,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/189,null,Додатковою угодою внесено зміни до пункту інвестиційного договору,null
2018-050-13/і/189,050-13/і/189,2,2020-06-15,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/189,null,Додатковою угодою внесено зміни до переліку місць розташування зупинкових комплексів та затверджено графік реалізації інвестиційного проєкту,null
2018-050-13/і/189,050-13/і/189,3,2023-10-11,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 050-13/і/189,null,Внесено зміни до строків виконання Інвестором зобов'язань та зміни до графіку реалізації інвестиційного проєкту,null
